Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,0,55,10,5,0.0,0.0,0.0
2,2,49,8,3,0.2,0.4,0.27
3,1,69,9,4,0.1,0.2,0.13
4,0,49,10,4,0.0,0.0,0.0
5,5,49,5,3,0.5,0.62,0.55
6,1,75,9,4,0.1,0.2,0.13
7,1,74,9,4,0.1,0.2,0.13
8,3,53,7,3,0.3,0.5,0.37
9,3,35,7,4,0.3,0.43,0.35
10,1,80,9,4,0.1,0.2,0.13
11,1,71,9,4,0.1,0.2,0.13
12,0,54,10,4,0.0,0.0,0.0
13,0,78,10,5,0.0,0.0,0.0
14,2,40,8,3,0.2,0.4,0.27
15,2,63,8,4,0.2,0.33,0.25
16,0,73,10,5,0.0,0.0,0.0
17,0,68,10,5,0.0,0.0,0.0
18,2,49,8,5,0.2,0.29,0.24
19,1,59,9,4,0.1,0.2,0.13
20,1,77,9,4,0.1,0.2,0.13
21,4,51,6,3,0.4,0.57,0.47
22,0,78,10,3,0.0,0.0,0.0
23,2,82,8,4,0.2,0.33,0.25
24,0,54,10,6,0.0,0.0,0.0
25,0,69,10,5,0.0,0.0,0.0
26,1,40,9,3,0.1,0.25,0.14
27,3,71,7,5,0.3,0.38,0.34
28,1,36,9,5,0.1,0.17,0.13
29,1,42,9,3,0.1,0.25,0.14
30,0,89,10,5,0.0,0.0,0.0
31,0,69,10,4,0.0,0.0,0.0
32,2,36,8,3,0.2,0.4,0.27
33,2,69,8,4,0.2,0.33,0.25
34,1,31,9,4,0.1,0.2,0.13
35,3,66,7,2,0.3,0.6,0.4
36,3,69,7,3,0.3,0.5,0.37
37,0,40,10,3,0.0,0.0,0.0
38,0,79,10,4,0.0,0.0,0.0
39,0,58,10,5,0.0,0.0,0.0
40,1,74,9,5,0.1,0.17,0.13
41,1,72,9,4,0.1,0.2,0.13
42,0,42,10,5,0.0,0.0,0.0
43,0,38,10,4,0.0,0.0,0.0
44,6,40,4,1,0.6,0.86,0.71
45,1,60,9,3,0.1,0.25,0.14
46,2,60,8,4,0.2,0.33,0.25
47,0,61,10,5,0.0,0.0,0.0
48,0,79,10,6,0.0,0.0,0.0
49,3,33,7,3,0.3,0.5,0.37
50,0,71,10,5,0.0,0.0,0.0
51,0,72,10,5,0.0,0.0,0.0
52,0,76,10,4,0.0,0.0,0.0
53,4,59,6,2,0.4,0.67,0.5
54,1,47,9,3,0.1,0.25,0.14
55,0,59,10,4,0.0,0.0,0.0
56,1,84,9,4,0.1,0.2,0.13
57,1,87,9,3,0.1,0.25,0.14
58,0,45,10,3,0.0,0.0,0.0
59,0,58,10,5,0.0,0.0,0.0
60,0,38,10,6,0.0,0.0,0.0
61,1,51,9,2,0.1,0.33,0.15
62,0,54,10,3,0.0,0.0,0.0
63,0,48,10,4,0.0,0.0,0.0
64,0,65,10,3,0.0,0.0,0.0
65,1,59,9,4,0.1,0.2,0.13
66,2,80,8,3,0.2,0.4,0.27
67,0,37,10,5,0.0,0.0,0.0
68,0,109,10,3,0.0,0.0,0.0
69,1,104,9,2,0.1,0.33,0.15
70,0,84,10,3,0.0,0.0,0.0
71,3,73,7,3,0.3,0.5,0.37
72,2,22,8,3,0.2,0.4,0.27
73,2,69,8,4,0.2,0.33,0.25
74,3,62,7,2,0.3,0.6,0.4
75,0,53,10,3,0.0,0.0,0.0
76,1,54,9,4,0.1,0.2,0.13
77,0,40,10,3,0.0,0.0,0.0
78,0,67,10,5,0.0,0.0,0.0
79,2,55,8,2,0.2,0.5,0.29
80,0,66,10,5,0.0,0.0,0.0
81,1,65,9,4,0.1,0.2,0.13
82,1,68,9,2,0.1,0.33,0.15
83,2,56,8,3,0.2,0.4,0.27
84,0,48,10,4,0.0,0.0,0.0
85,0,32,10,3,0.0,0.0,0.0
86,1,57,9,3,0.1,0.25,0.14
87,1,83,9,4,0.1,0.2,0.13
88,1,79,9,4,0.1,0.2,0.13
89,0,43,10,6,0.0,0.0,0.0
90,0,55,10,3,0.0,0.0,0.0
91,1,58,9,2,0.1,0.33,0.15
92,2,109,8,3,0.2,0.4,0.27
93,3,76,7,1,0.3,0.75,0.43
94,0,43,10,4,0.0,0.0,0.0
95,7,106,3,0,0.7,1.0,0.82
96,1,36,9,2,0.1,0.33,0.15
97,0,75,10,7,0.0,0.0,0.0
98,0,55,10,5,0.0,0.0,0.0
99,1,85,9,4,0.1,0.2,0.13
100,2,60,8,2,0.2,0.5,0.29
