Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,0,60,5,5,0,0,0
2,1,53,4,4,0.2,0.2,0.2
3,0,73,5,5,0,0,0
4,0,68,5,4,0,0,0
5,3,56,2,4,0.6,0.43,0.5
6,1,84,4,4,0.2,0.2,0.2
7,1,85,4,4,0.2,0.2,0.2
8,2,56,3,4,0.4,0.33,0.36
9,1,42,4,5,0.2,0.17,0.18
10,0,99,5,5,0,0,0
11,1,88,4,4,0.2,0.2,0.2
12,0,67,5,4,0,0,0
13,0,97,5,5,0,0,0
14,1,51,4,3,0.2,0.25,0.22
15,1,80,4,5,0.2,0.17,0.18
16,0,80,5,5,0,0,0
17,0,76,5,5,0,0,0
18,1,54,4,5,0.2,0.17,0.18
19,0,65,5,5,0,0,0
20,1,85,4,4,0.2,0.2,0.2
21,2,57,3,3,0.4,0.4,0.4
22,0,90,5,3,0,0,0
23,1,88,4,4,0.2,0.2,0.2
24,0,69,5,6,0,0,0
25,0,87,5,5,0,0,0
26,1,48,4,3,0.2,0.25,0.22
27,1,79,4,7,0.2,0.12,0.15
28,0,47,5,6,0,0,0
29,1,49,4,3,0.2,0.25,0.22
30,0,105,5,5,0,0,0
31,0,85,5,4,0,0,0
32,0,40,5,4,0,0,0
33,0,93,5,5,0,0,0
34,1,57,4,4,0.2,0.2,0.2
35,0,67,5,5,0,0,0
36,2,76,3,3,0.4,0.4,0.4
37,0,47,5,3,0,0,0
38,0,87,5,4,0,0,0
39,0,64,5,5,0,0,0
40,1,80,4,5,0.2,0.17,0.18
41,1,98,4,4,0.2,0.2,0.2
42,0,51,5,5,0,0,0
43,0,43,5,4,0,0,0
44,3,41,2,2,0.6,0.6,0.6
45,1,89,4,3,0.2,0.25,0.22
46,1,74,4,5,0.2,0.17,0.18
47,0,72,5,5,0,0,0
48,0,95,5,6,0,0,0
49,2,38,3,3,0.4,0.4,0.4
50,0,86,5,5,0,0,0
51,0,77,5,5,0,0,0
52,0,107,5,4,0,0,0
53,2,68,3,2,0.4,0.5,0.44
54,0,64,5,4,0,0,0
55,0,67,5,4,0,0,0
56,0,99,5,5,0,0,0
57,1,96,4,3,0.2,0.25,0.22
58,0,56,5,3,0,0,0
59,0,65,5,5,0,0,0
60,0,49,5,6,0,0,0
61,1,60,4,2,0.2,0.33,0.25
62,0,61,5,3,0,0,0
63,0,52,5,4,0,0,0
64,0,76,5,3,0,0,0
65,1,71,4,4,0.2,0.2,0.2
66,0,90,5,5,0,0,0
67,0,46,5,5,0,0,0
68,0,158,5,3,0,0,0
69,1,113,4,2,0.2,0.33,0.25
70,0,88,5,3,0,0,0
71,1,77,4,5,0.2,0.17,0.18
72,0,30,5,5,0,0,0
73,2,81,3,4,0.4,0.33,0.36
74,3,70,2,2,0.6,0.6,0.6
75,0,63,5,3,0,0,0
76,0,73,5,5,0,0,0
77,0,56,5,3,0,0,0
78,0,79,5,5,0,0,0
79,0,70,5,4,0,0,0
80,0,74,5,5,0,0,0
81,1,79,4,4,0.2,0.2,0.2
82,0,75,5,3,0,0,0
83,0,78,5,5,0,0,0
84,0,53,5,4,0,0,0
85,0,45,5,3,0,0,0
86,1,71,4,3,0.2,0.25,0.22
87,0,97,5,5,0,0,0
88,1,87,4,4,0.2,0.2,0.2
89,0,54,5,6,0,0,0
90,0,61,5,3,0,0,0
91,1,84,4,2,0.2,0.33,0.25
92,1,117,4,4,0.2,0.2,0.2
93,3,93,2,1,0.6,0.75,0.67
94,0,51,5,4,0,0,0
95,5,109,0,0,1,1,1
96,0,46,5,3,0,0,0
97,0,78,5,7,0,0,0
98,0,58,5,5,0,0,0
99,0,93,5,5,0,0,0
100,1,63,4,3,0.2,0.25,0.22
,,,,,0.116,0.1202,0.1165
