Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,0,44,20,5,0,0,0
2,2,44,18,3,0.1,0.4,0.16
3,1,53,19,4,0.05,0.2,0.08
4,0,41,20,4,0,0,0
5,9,42,11,3,0.45,0.75,0.56
6,1,51,19,4,0.05,0.2,0.08
7,1,63,19,4,0.05,0.2,0.08
8,5,46,15,3,0.25,0.62,0.36
9,4,28,16,4,0.2,0.5,0.29
10,1,66,19,4,0.05,0.2,0.08
11,1,59,19,4,0.05,0.2,0.08
12,0,49,20,4,0,0,0
13,0,61,20,5,0,0,0
14,3,26,17,2,0.15,0.6,0.24
15,2,46,18,4,0.1,0.33,0.15
16,0,56,20,5,0,0,0
17,0,57,20,5,0,0,0
18,3,42,17,5,0.15,0.38,0.22
19,1,48,19,4,0.05,0.2,0.08
20,1,61,19,4,0.05,0.2,0.08
21,6,41,14,3,0.3,0.67,0.41
22,0,64,20,3,0,0,0
23,3,68,17,4,0.15,0.43,0.22
24,0,40,20,6,0,0,0
25,0,56,20,5,0,0,0
26,4,36,16,3,0.2,0.57,0.3
27,4,62,16,5,0.2,0.44,0.28
28,1,25,19,5,0.05,0.17,0.08
29,1,32,19,3,0.05,0.25,0.08
30,0,76,20,5,0,0,0
31,0,53,20,4,0,0,0
32,5,21,15,3,0.25,0.62,0.36
33,2,60,18,4,0.1,0.33,0.15
34,2,22,18,4,0.1,0.33,0.15
35,3,59,17,2,0.15,0.6,0.24
36,6,59,14,3,0.3,0.67,0.41
37,0,29,20,3,0,0,0
38,0,67,20,4,0,0,0
39,0,50,20,5,0,0,0
40,2,63,18,5,0.1,0.29,0.15
41,1,57,19,4,0.05,0.2,0.08
42,0,34,20,5,0,0,0
43,0,31,20,4,0,0,0
44,9,33,11,1,0.45,0.9,0.6
45,1,52,19,3,0.05,0.25,0.08
46,2,43,18,4,0.1,0.33,0.15
47,0,48,20,5,0,0,0
48,0,67,20,6,0,0,0
49,5,21,15,3,0.25,0.62,0.36
50,0,67,20,5,0,0,0
51,2,59,18,3,0.1,0.4,0.16
52,0,51,20,4,0,0,0
53,4,40,16,2,0.2,0.67,0.31
54,3,43,17,3,0.15,0.5,0.23
55,2,49,18,3,0.1,0.4,0.16
56,1,73,19,4,0.05,0.2,0.08
57,1,76,19,3,0.05,0.25,0.08
58,0,35,20,3,0,0,0
59,0,47,20,5,0,0,0
60,0,30,20,6,0,0,0
61,2,38,18,2,0.1,0.5,0.17
62,0,43,20,3,0,0,0
63,0,41,20,4,0,0,0
64,0,55,20,3,0,0,0
65,1,50,19,4,0.05,0.2,0.08
66,4,71,16,3,0.2,0.57,0.3
67,0,26,20,5,0,0,0
68,0,85,20,3,0,0,0
69,2,92,18,2,0.1,0.5,0.17
70,0,76,20,3,0,0,0
71,3,63,17,3,0.15,0.5,0.23
72,3,14,17,2,0.15,0.6,0.24
73,4,60,16,3,0.2,0.57,0.3
74,5,49,15,2,0.25,0.71,0.37
75,0,37,20,3,0,0,0
76,1,47,19,4,0.05,0.2,0.08
77,0,36,20,3,0,0,0
78,0,54,20,5,0,0,0
79,2,49,18,2,0.1,0.5,0.17
80,0,55,20,5,0,0,0
81,1,56,19,4,0.05,0.2,0.08
82,1,51,19,2,0.05,0.33,0.09
83,2,36,18,3,0.1,0.4,0.16
84,0,43,20,4,0,0,0
85,0,25,20,3,0,0,0
86,2,50,18,3,0.1,0.4,0.16
87,2,75,18,4,0.1,0.33,0.15
88,2,69,18,3,0.1,0.4,0.16
89,0,39,20,6,0,0,0
90,0,43,20,3,0,0,0
91,1,47,19,2,0.05,0.33,0.09
92,2,103,18,3,0.1,0.4,0.16
93,4,65,16,1,0.2,0.8,0.32
94,0,34,20,4,0,0,0
95,9,72,11,0,0.45,1,0.62
96,1,27,19,2,0.05,0.33,0.09
97,0,60,20,7,0,0,0
98,0,50,20,5,0,0,0
99,2,78,18,4,0.1,0.33,0.15
100,3,44,17,2,0.15,0.6,0.24
,,,,,0.082,0.2577,0.1224
