Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,1,64,4,4,0.2,0.2,0.2
2,0,68,5,5,0,0,0
3,0,83,5,5,0,0,0
4,0,70,5,4,0,0,0
5,4,58,1,5,0.8,0.44,0.57
6,0,83,5,5,0,0,0
7,0,96,5,5,0,0,0
8,0,66,5,6,0,0,0
9,0,45,5,6,0,0,0
10,0,105,5,5,0,0,0
11,0,92,5,5,0,0,0
12,0,86,5,4,0,0,0
13,0,104,5,5,0,0,0
14,0,52,5,4,0,0,0
15,0,84,5,6,0,0,0
16,0,80,5,5,0,0,0
17,0,79,5,5,0,0,0
18,0,55,5,6,0,0,0
19,0,67,5,5,0,0,0
20,0,88,5,5,0,0,0
21,0,66,5,5,0,0,0
22,0,98,5,3,0,0,0
23,0,119,5,5,0,0,0
24,0,76,5,6,0,0,0
25,0,89,5,5,0,0,0
26,3,59,2,3,0.6,0.5,0.55
27,1,80,4,7,0.2,0.12,0.15
28,0,50,5,6,0,0,0
29,0,52,5,4,0,0,0
30,0,113,5,5,0,0,0
31,0,105,5,4,0,0,0
32,0,48,5,4,0,0,0
33,0,118,5,5,0,0,0
34,0,61,5,5,0,0,0
35,0,94,5,5,0,0,0
36,1,82,4,4,0.2,0.2,0.2
37,0,54,5,3,0,0,0
38,0,94,5,4,0,0,0
39,0,70,5,5,0,0,0
40,0,84,5,6,0,0,0
41,0,98,5,5,0,0,0
42,0,60,5,5,0,0,0
43,0,68,5,4,0,0,0
44,0,40,5,5,0,0,0
45,0,91,5,4,0,0,0
46,0,81,5,6,0,0,0
47,0,86,5,5,0,0,0
48,0,109,5,6,0,0,0
49,0,33,5,5,0,0,0
50,0,102,5,5,0,0,0
51,0,90,5,5,0,0,0
52,0,112,5,4,0,0,0
53,0,66,5,4,0,0,0
54,0,68,5,4,0,0,0
55,0,76,5,4,0,0,0
56,0,112,5,5,0,0,0
57,0,109,5,4,0,0,0
58,0,82,5,3,0,0,0
59,0,70,5,5,0,0,0
60,0,67,5,6,0,0,0
61,0,61,5,3,0,0,0
62,0,73,5,3,0,0,0
63,0,73,5,4,0,0,0
64,0,99,5,3,0,0,0
65,0,76,5,5,0,0,0
66,0,91,5,5,0,0,0
67,0,51,5,5,0,0,0
68,0,153,5,3,0,0,0
69,0,112,5,3,0,0,0
70,0,114,5,3,0,0,0
71,5,85,0,5,1,0.5,0.67
72,0,33,5,5,0,0,0
73,4,85,1,4,0.8,0.5,0.62
74,0,75,5,4,0,0,0
75,0,70,5,3,0,0,0
76,0,80,5,5,0,0,0
77,0,75,5,3,0,0,0
78,0,93,5,5,0,0,0
79,0,82,5,4,0,0,0
80,0,84,5,5,0,0,0
81,0,88,5,5,0,0,0
82,0,75,5,3,0,0,0
83,4,91,1,4,0.8,0.5,0.62
84,0,68,5,4,0,0,0
85,0,47,5,3,0,0,0
86,0,71,5,4,0,0,0
87,0,104,5,5,0,0,0
88,0,107,5,5,0,0,0
89,0,62,5,6,0,0,0
90,0,71,5,3,0,0,0
91,0,88,5,3,0,0,0
92,0,123,5,5,0,0,0
93,0,97,5,4,0,0,0
94,0,61,5,4,0,0,0
95,3,107,2,4,0.6,0.43,0.5
96,0,54,5,3,0,0,0
97,0,81,5,7,0,0,0
98,0,75,5,5,0,0,0
99,0,95,5,5,0,0,0
100,0,68,5,4,0,0,0
