Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,2,40,28,3,0.07,0.4,0.12
2,0,51,30,5,0,0,0
3,4,62,26,4,0.13,0.5,0.21
4,0,44,30,4,0,0,0
5,4,33,26,5,0.13,0.44,0.2
6,3,63,27,3,0.1,0.5,0.17
7,0,64,30,5,0,0,0
8,0,38,30,6,0,0,0
9,8,28,22,5,0.27,0.62,0.38
10,0,79,30,5,0,0,0
11,0,67,30,5,0,0,0
12,0,61,30,4,0,0,0
13,0,82,30,5,0,0,0
14,2,25,28,2,0.07,0.5,0.12
15,0,61,30,6,0,0,0
16,2,57,28,4,0.07,0.33,0.12
17,0,54,30,5,0,0,0
18,0,30,30,6,0,0,0
19,2,45,28,4,0.07,0.33,0.12
20,0,64,30,5,0,0,0
21,0,41,30,5,0,0,0
22,0,81,30,3,0,0,0
23,0,94,30,5,0,0,0
24,0,50,30,6,0,0,0
25,0,64,30,5,0,0,0
26,4,34,26,3,0.13,0.57,0.21
27,6,61,24,6,0.2,0.5,0.29
28,0,25,30,6,0,0,0
29,0,27,30,4,0,0,0
30,0,91,30,5,0,0,0
31,0,80,30,4,0,0,0
32,0,23,30,4,0,0,0
33,0,104,30,5,0,0,0
34,0,29,30,5,0,0,0
35,4,71,26,4,0.13,0.5,0.21
36,1,57,29,4,0.03,0.2,0.05
37,0,29,30,3,0,0,0
38,0,64,30,4,0,0,0
39,0,46,30,5,0,0,0
40,0,59,30,6,0,0,0
41,0,68,30,5,0,0,0
42,0,35,30,5,0,0,0
43,0,41,30,4,0,0,0
44,5,20,25,4,0.17,0.56,0.26
45,0,61,30,4,0,0,0
46,0,56,30,6,0,0,0
47,6,66,24,4,0.2,0.6,0.3
48,0,85,30,6,0,0,0
49,6,18,24,3,0.2,0.67,0.31
50,0,80,30,5,0,0,0
51,0,64,30,5,0,0,0
52,0,91,30,4,0,0,0
53,2,43,28,2,0.07,0.5,0.12
54,0,43,30,4,0,0,0
55,0,49,30,4,0,0,0
56,8,98,22,4,0.27,0.67,0.38
57,0,82,30,4,0,0,0
58,0,56,30,3,0,0,0
59,0,45,30,5,0,0,0
60,0,40,30,6,0,0,0
61,0,35,30,3,0,0,0
62,0,49,30,3,0,0,0
63,0,48,30,4,0,0,0
64,0,72,30,3,0,0,0
65,0,51,30,5,0,0,0
66,0,63,30,5,0,0,0
67,0,26,30,5,0,0,0
68,0,136,30,3,0,0,0
69,0,87,30,3,0,0,0
70,0,89,30,3,0,0,0
71,6,61,24,5,0.2,0.55,0.29
72,2,12,28,4,0.07,0.33,0.12
73,8,64,22,3,0.27,0.73,0.39
74,0,50,30,4,0,0,0
75,0,47,30,3,0,0,0
76,0,47,30,5,0,0,0
77,0,53,30,3,0,0,0
78,0,68,30,5,0,0,0
79,0,60,30,4,0,0,0
80,0,59,30,5,0,0,0
81,6,69,24,4,0.2,0.6,0.3
82,0,50,30,3,0,0,0
83,4,66,26,4,0.13,0.5,0.21
84,0,43,30,4,0,0,0
85,0,20,30,3,0,0,0
86,0,39,30,4,0,0,0
87,0,78,30,5,0,0,0
88,0,80,30,5,0,0,0
89,0,38,30,6,0,0,0
90,0,44,30,3,0,0,0
91,0,63,30,3,0,0,0
92,0,99,30,5,0,0,0
93,1,76,29,3,0.03,0.25,0.05
94,1,38,29,3,0.03,0.25,0.05
95,18,97,12,2,0.6,0.9,0.72
96,0,28,30,3,0,0,0
97,2,58,28,6,0.07,0.25,0.11
98,0,51,30,5,0,0,0
99,0,70,30,5,0,0,0
100,3,47,27,3,0.1,0.5,0.17
,,,,,0.0401,0.1325,0.0598
