Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,1,59,9,4,0.1,0.2,0.13
2,0,68,10,5,0.0,0.0,0.0
3,0,78,10,5,0.0,0.0,0.0
4,0,58,10,4,0.0,0.0,0.0
5,4,53,6,5,0.4,0.44,0.42
6,1,81,9,4,0.1,0.2,0.13
7,0,90,10,5,0.0,0.0,0.0
8,0,60,10,6,0.0,0.0,0.0
9,0,40,10,6,0.0,0.0,0.0
10,0,98,10,5,0.0,0.0,0.0
11,0,84,10,5,0.0,0.0,0.0
12,0,81,10,4,0.0,0.0,0.0
13,0,102,10,5,0.0,0.0,0.0
14,0,47,10,4,0.0,0.0,0.0
15,0,81,10,6,0.0,0.0,0.0
16,0,75,10,5,0.0,0.0,0.0
17,0,76,10,5,0.0,0.0,0.0
18,0,50,10,6,0.0,0.0,0.0
19,0,63,10,5,0.0,0.0,0.0
20,0,84,10,5,0.0,0.0,0.0
21,0,61,10,5,0.0,0.0,0.0
22,0,98,10,3,0.0,0.0,0.0
23,0,113,10,5,0.0,0.0,0.0
24,0,70,10,6,0.0,0.0,0.0
25,0,82,10,5,0.0,0.0,0.0
26,4,54,6,3,0.4,0.57,0.47
27,1,76,9,7,0.1,0.12,0.11
28,0,44,10,6,0.0,0.0,0.0
29,0,47,10,4,0.0,0.0,0.0
30,0,112,10,5,0.0,0.0,0.0
31,0,100,10,4,0.0,0.0,0.0
32,0,39,10,4,0.0,0.0,0.0
33,0,118,10,5,0.0,0.0,0.0
34,0,57,10,5,0.0,0.0,0.0
35,0,89,10,5,0.0,0.0,0.0
36,1,77,9,4,0.1,0.2,0.13
37,0,48,10,3,0.0,0.0,0.0
38,0,89,10,4,0.0,0.0,0.0
39,0,65,10,5,0.0,0.0,0.0
40,0,79,10,6,0.0,0.0,0.0
41,0,91,10,5,0.0,0.0,0.0
42,0,55,10,5,0.0,0.0,0.0
43,0,62,10,4,0.0,0.0,0.0
44,0,35,10,5,0.0,0.0,0.0
45,0,80,10,4,0.0,0.0,0.0
46,0,75,10,6,0.0,0.0,0.0
47,2,83,8,4,0.2,0.33,0.25
48,0,104,10,6,0.0,0.0,0.0
49,0,32,10,5,0.0,0.0,0.0
50,0,100,10,5,0.0,0.0,0.0
51,0,82,10,5,0.0,0.0,0.0
52,0,112,10,4,0.0,0.0,0.0
53,0,61,10,4,0.0,0.0,0.0
54,0,63,10,4,0.0,0.0,0.0
55,0,72,10,4,0.0,0.0,0.0
56,1,111,9,4,0.1,0.2,0.13
57,0,104,10,4,0.0,0.0,0.0
58,0,77,10,3,0.0,0.0,0.0
59,0,65,10,5,0.0,0.0,0.0
60,0,61,10,6,0.0,0.0,0.0
61,0,55,10,3,0.0,0.0,0.0
62,0,68,10,3,0.0,0.0,0.0
63,0,66,10,4,0.0,0.0,0.0
64,0,96,10,3,0.0,0.0,0.0
65,0,71,10,5,0.0,0.0,0.0
66,0,86,10,5,0.0,0.0,0.0
67,0,43,10,5,0.0,0.0,0.0
68,0,153,10,3,0.0,0.0,0.0
69,0,104,10,3,0.0,0.0,0.0
70,0,109,10,3,0.0,0.0,0.0
71,6,81,4,5,0.6,0.55,0.57
72,0,30,10,5,0.0,0.0,0.0
73,4,79,6,4,0.4,0.5,0.44
74,0,70,10,4,0.0,0.0,0.0
75,0,67,10,3,0.0,0.0,0.0
76,0,73,10,5,0.0,0.0,0.0
77,0,73,10,3,0.0,0.0,0.0
78,0,87,10,5,0.0,0.0,0.0
79,0,80,10,4,0.0,0.0,0.0
80,0,78,10,5,0.0,0.0,0.0
81,5,88,5,4,0.5,0.56,0.53
82,0,70,10,3,0.0,0.0,0.0
83,4,86,6,4,0.4,0.5,0.44
84,0,64,10,4,0.0,0.0,0.0
85,0,40,10,3,0.0,0.0,0.0
86,0,67,10,4,0.0,0.0,0.0
87,0,99,10,5,0.0,0.0,0.0
88,0,104,10,5,0.0,0.0,0.0
89,0,56,10,6,0.0,0.0,0.0
90,0,65,10,3,0.0,0.0,0.0
91,0,85,10,3,0.0,0.0,0.0
92,0,118,10,5,0.0,0.0,0.0
93,0,92,10,4,0.0,0.0,0.0
94,0,57,10,4,0.0,0.0,0.0
95,7,106,3,3,0.7,0.7,0.7
96,0,46,10,3,0.0,0.0,0.0
97,2,75,8,6,0.2,0.25,0.22
98,0,71,10,5,0.0,0.0,0.0
99,0,90,10,5,0.0,0.0,0.0
100,0,64,10,4,0.0,0.0,0.0
